iteration = 0
0,1,1 [0 ; -1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [0 ; -1]
7,8,1 [1 ; 1]
7,9,1 [1 ; 1]
9,8,1 [0 ; 1]
iteration = 1
0,1,1 [0 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [1 ; -1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [0 ; 1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [0 ; -1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 2
0,1,1 [0 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [0 ; -1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 3
0,1,1 [1 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [0 ; -1]
3,4,1 [0 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 4
0,1,1 [0 ; -1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [0 ; -1]
7,8,1 [1 ; 1]
7,9,1 [1 ; 1]
9,8,1 [0 ; 1]
iteration = 5
0,1,1 [1 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [0 ; -1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [0 ; -1]
7,4,1 [1 ; 1]
7,8,1 [1 ; 1]
7,9,1 [1 ; 1]
9,8,1 [0 ; 1]
iteration = 6
0,1,1 [1 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [0 ; -1]
3,4,1 [1 ; 1]
3,5,-1 [0 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [1 ; 1]
7,9,1 [1 ; 1]
9,8,1 [0 ; 1]
iteration = 7
0,1,1 [1 ; 1]
0,2,-1 [0 ; -1]
2,3,-1 [1 ; -1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [0 ; 1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [0 ; -1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 8
0,1,1 [0 ; -1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [0 ; -1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 9
0,1,1 [0 ; -1]
0,2,-1 [1 ; -1]
2,3,-1 [1 ; -1]
1,3,1 [0 ; -1]
3,4,1 [1 ; 1]
3,5,-1 [0 ; 1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [1 ; 1]
7,9,1 [1 ; 1]
9,8,1 [0 ; 1]
iteration = 10
0,1,1 [1 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [0 ; -1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [0 ; -1]
7,4,1 [1 ; 1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 11
0,1,1 [0 ; -1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [0 ; -1]
7,8,1 [1 ; 1]
7,9,1 [1 ; 1]
9,8,1 [0 ; 1]
iteration = 12
0,1,1 [0 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [1 ; -1]
1,3,1 [1 ; 1]
3,4,1 [0 ; -1]
3,5,-1 [1 ; -1]
2,5,-1 [0 ; 1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 13
0,1,1 [1 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [0 ; -1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [0 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 14
0,1,1 [1 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; -1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [0 ; 1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [0 ; -1]
7,8,1 [1 ; 1]
7,9,1 [0 ; 1]
9,8,1 [1 ; 1]
iteration = 15
0,1,1 [1 ; 1]
0,2,-1 [0 ; -1]
2,3,-1 [1 ; -1]
1,3,1 [1 ; 1]
3,4,1 [1 ; 1]
3,5,-1 [0 ; 1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [0 ; 1]
7,4,1 [1 ; 1]
7,8,1 [1 ; 1]
7,9,1 [0 ; 1]
9,8,1 [1 ; 1]
iteration = 16
0,1,1 [1 ; 1]
0,2,-1 [0 ; 1]
2,3,-1 [0 ; 1]
1,3,1 [1 ; 1]
3,4,1 [0 ; -1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [0 ; 1]
7,9,1 [1 ; 1]
9,8,1 [1 ; 1]
iteration = 17
0,1,1 [1 ; 1]
0,2,-1 [1 ; -1]
2,3,-1 [0 ; 1]
1,3,1 [0 ; -1]
3,4,1 [0 ; 1]
3,5,-1 [1 ; -1]
2,5,-1 [1 ; -1]
5,6,-1 [1 ; -1]
1,7,-1 [1 ; -1]
7,4,1 [1 ; 1]
7,8,1 [1 ; 1]
7,9,1 [0 ; 1]
9,8,1 [1 ; 1]
